Defense-type,normal,fire,water,electric,grass,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
fire,1,"0,5",2,1,"0,5","0,5",1,1,2,1,1,"0,5",2,1,1,1,"0,5","0,5"
water,1,"0,5","0,5",2,2,"0,5",1,1,1,1,1,1,1,1,1,1,"0,5",1
electric,1,1,1,"0,5",1,1,1,1,2,"0,5",1,1,1,1,1,1,"0,5",1
grass,1,2,"0,5","0,5","0,5",2,1,2,"0,5",2,1,2,1,1,1,1,1,1
ice,1,2,1,1,1,"0,5",2,1,1,1,1,1,2,1,1,1,2,1
fighting,1,1,1,1,1,1,1,1,1,2,2,"0,5","0,5",1,1,"0,5",1,2
poison,1,1,1,1,"0,5",1,"0,5","0,5",2,1,2,"0,5",1,1,1,1,1,"0,5"
ground,1,1,2,0,2,2,1,"0,5",1,1,1,1,"0,5",1,1,1,1,1
flying,1,1,1,2,"0,5",2,"0,5",1,0,1,1,"0,5",2,1,1,1,1,1
psychic,1,1,1,1,1,1,"0,5",1,1,1,"0,5",2,1,2,1,2,1,1
bug,1,2,1,1,"0,5",1,"0,5",1,"0,5",2,1,1,2,1,1,1,1,1
rock,"0,5","0,5",2,1,2,1,2,"0,5",2,"0,5",1,1,1,1,1,1,2,1
ghost,0,1,1,1,1,1,0,"0,5",1,1,1,"0,5",1,2,1,2,1,1
dragon,1,"0,5","0,5","0,5","0,5",2,1,1,1,1,1,1,1,1,2,1,1,2
dark,1,1,1,1,1,1,2,1,1,1,0,2,1,"0,5",1,"0,5",1,2
steel,"0,5",2,1,1,"0,5","0,5",2,0,2,"0,5","0,5","0,5","0,5",1,"0,5",1,"0,5","0,5"
fairy,1,1,1,1,1,1,"0,5",2,1,1,1,"0,5",1,1,0,"0,5",2,1
